"","X49041_Reb_TAM","X49041_Reb_TC","X49059_Reb_TAM","X49059_Reb_TC","X49827_Reb_TAM","X49827_Reb_TC","X49849_Reb_TAM","X49849_Reb_TC","X49823_EP_TAM","X49823_EP_TC","X49825_EP_TAM","X49825_EP_TC","X49830_EP_TAM","X49830_EP_TC","X49831_EP_TAM","X49831_EP_TC","X49843_EP_TAM","X49843_EP_TC","X49845_EP_TAM","X49845_EP_TC","X54359_Veh_TAM","X54359_Veh_TC","X54363_Veh_TAM","X54363_Veh_TC","X57098_Veh_TAM","X57098_Veh_TC","X57682_Veh_TAM","X57682_Veh_TC","X64247_Veh_TAM","X64247_Veh_TC"
"1810041L15Rik",66,1186,14,230,28,282,58,790,24,116,0,148,2,10,2,34,2,108,20,76,1,335,8,163,31,321,3,585,27,205
"Wnt7b",4,372,18,360,0,200,4,612,14,30,14,10,0,4,8,40,4,30,0,76,6,392,33,304,3,418,0,574,3,729
"Gtse1",50,518,20,512,82,72,50,646,104,28,110,42,46,8,22,26,84,16,196,46,68,314,289,296,600,882,463,977,533,823
"Mapk8ip2",42,660,44,1158,54,540,42,974,20,140,20,290,8,104,6,154,12,150,38,298,5,1045,28,967,15,862,12,958,20,768
"Cpne8",26,1860,18,2704,34,620,82,3208,30,124,0,112,8,28,6,70,0,196,26,176,21,2129,12,1236,21,4006,36,5393,41,1574
"Pus7l",90,188,246,278,84,176,148,670,218,158,64,38,118,42,98,22,148,40,124,26,109,486,84,130,375,761,343,828,145,459
"Nell2",30,3208,80,2026,36,1030,68,3824,26,318,4,468,8,36,14,188,2,336,24,218,14,3635,14,1086,25,7930,31,7264,10,1939
"Zfp641",100,116,68,144,174,116,196,172,214,68,44,40,192,28,18,14,120,32,120,6,48,128,86,72,192,368,94,308,41,30
"Fkbp11",10,138,20,204,4,28,22,84,4,44,6,34,10,2,16,20,28,20,28,40,17,80,23,89,53,167,29,122,60,210
"Troap",34,342,20,454,12,26,10,448,200,12,170,14,188,0,48,8,142,74,246,44,86,485,276,341,274,337,187,374,206,529
"Accn2",20,394,4,446,4,130,0,592,24,24,4,16,18,10,16,32,8,46,0,4,3,332,0,25,14,256,5,479,2,65
"Csrnp2",80,350,76,366,72,128,74,612,162,16,76,18,132,6,42,20,70,26,84,56,18,417,170,185,127,472,100,616,62,415
"Cela1",80,738,56,950,188,418,262,996,42,128,34,50,12,2,42,44,66,132,34,14,299,1593,391,1734,289,2076,683,1846,1373,1154
"Galnt6",1230,352,1976,1244,460,580,1096,800,170,294,38,368,60,42,60,296,182,94,208,44,717,815,1199,234,1189,1381,2156,1865,2457,879
"Slc4a8",112,462,198,776,134,154,60,824,64,86,12,36,38,38,16,52,50,98,48,120,70,465,94,314,237,852,95,938,206,355
"Acvr1b",166,108,46,76,88,38,190,120,100,14,88,42,74,2,48,12,44,8,84,20,165,29,261,40,164,108,153,106,168,12
"Krt1",0,84,4,86,0,88,0,54,4,6,0,10,0,28,0,22,0,6,0,30,0,125,2,205,1,43,0,40,4,84
"Itgb7",986,4,1822,6,224,1440,368,30,68,2162,28,1522,40,832,20,756,16,8,32,20,356,6,339,5,373,23,338,55,598,17
"Rarg",140,154,100,208,24,38,38,168,18,206,4,210,4,90,2,136,6,26,4,62,31,51,33,45,63,116,49,129,38,176
"Zfp174",62,130,10,76,114,64,66,66,84,20,72,70,140,4,52,10,62,12,100,38,84,63,101,9,135,150,151,199,93,125
"Nlrc3",152,22,104,0,58,502,196,6,10,424,6,500,10,138,8,290,40,2,10,0,61,1,26,1,46,12,267,15,131,20
"Dnase1",14,26,14,40,8,40,22,94,12,10,10,24,16,8,4,20,6,2,16,8,24,70,39,1,49,95,42,145,6,0
"Fam18a",48,1046,74,2362,16,230,26,860,36,62,10,28,18,24,4,44,12,98,12,112,21,935,31,707,113,3321,72,2853,53,1025
"Ciita",3104,34,5122,178,1588,60,604,8,268,74,14,630,84,46,30,14,58,2,32,2,1004,23,931,32,3325,158,2983,116,1740,100
"Cebpd",26,42,46,132,18,30,28,82,18,16,2,8,8,14,6,6,10,22,6,2,90,46,183,89,72,101,35,72,127,120
"Ypel1",18,664,20,156,28,116,12,210,36,22,26,66,42,10,12,34,30,26,30,52,9,115,6,94,30,203,19,194,29,188
"Serpind1",8,344,16,268,6,102,6,112,20,6,0,24,14,76,8,76,0,12,14,56,15,101,1,92,26,110,14,96,3,4
"Aifm3",48,60,22,4,22,160,0,2,40,1330,50,688,22,406,4,374,2,144,46,1948,0,325,1,369,12,162,7,78,28,44
"Scarf2",10,40,6,6,18,4,18,8,46,22,30,28,32,60,30,22,48,22,28,6,7,9,39,1,31,9,13,2,19,8
"Cdc45",394,630,122,736,94,116,82,850,204,144,206,52,52,20,96,40,332,108,348,16,105,543,322,247,530,1174,380,963,659,1063
"Map6d1",0,164,50,72,0,134,4,184,6,68,26,28,8,10,0,14,2,36,4,16,0,408,2,242,7,125,4,178,1,98
"Map3k13",0,242,20,224,2,76,14,144,14,40,6,12,32,28,28,8,12,8,34,80,18,81,3,27,27,314,23,310,7,77
"Snora81",100,14,70,20,94,22,158,10,30,14,32,2,16,22,18,8,24,6,18,0,118,10,18,141,108,117,76,41,100,15
"Il1rap",568,8250,1358,29304,286,2244,628,22860,358,538,332,616,202,270,186,252,176,828,294,386,256,6903,149,1386,881,29851,1080,39048,387,12701
"1600021P15Rik",104,620,50,598,106,190,90,682,28,144,8,20,10,10,0,42,18,8,10,56,150,454,10,639,169,1453,49,1188,10,1040
"Apod",1132,34694,1458,15166,94,3160,832,16292,64,1964,20,1598,16,1710,12,2284,34,1412,64,1582,34,1717,24,909,95,4329,49,2722,98,1331
"Iqcg",98,38,154,8,126,30,174,0,52,172,64,56,4,42,50,76,76,16,68,300,49,1,150,131,91,27,270,9,97,1
"Ccdc14",80,252,46,192,122,160,136,312,208,4,198,56,170,4,56,60,192,68,268,58,228,215,158,12,280,384,302,425,139,97
"Mylk",48,542,90,496,20,152,24,248,12,28,2,112,2,26,0,50,4,28,16,80,20,46,9,51,28,115,14,125,21,14
"Sema5b",2,404,4,760,0,138,6,1004,8,12,0,12,0,36,2,24,2,90,0,2,0,323,7,43,5,1039,1,1240,2,315
"Polq",88,384,48,312,6,84,104,530,138,166,48,52,52,14,34,16,84,28,132,38,29,117,47,109,290,359,150,502,130,323
"Cd80",102,0,186,6,58,22,138,0,40,10,32,8,30,2,20,26,12,8,42,0,75,5,128,9,133,8,198,5,38,0
"Mir568",0,36,0,32,0,30,12,22,8,10,2,4,6,6,2,4,0,6,0,4,0,6,3,19,10,52,14,93,2,18
"Cd200r4",680,4,660,0,1218,266,1062,2,180,360,154,418,120,86,108,176,272,16,130,0,424,0,357,1,1021,33,983,5,267,2
"Btla",218,6,982,0,30,200,50,14,8,124,2,684,2,52,8,182,6,2,10,22,8,4,85,2,202,12,384,22,219,95
"Retnlg",14018,18,37422,14,634,20,6130,16,6,0,46,12,112,0,34,0,22,24,106,16,2548,22,436,37,6094,35,14592,14,7446,369
"C330027C09Rik",134,964,98,1466,144,184,66,1628,264,216,390,50,218,12,128,16,226,116,428,28,78,718,152,557,525,1343,418,2312,378,1463
"Rbm11",4,106,16,42,0,60,0,40,0,6,0,64,0,2,10,16,0,22,0,16,0,71,0,127,0,111,7,192,2,9
"Ncam2",26,1292,30,1102,20,500,10,1240,10,76,18,78,4,18,0,22,0,120,6,22,11,177,7,210,6,703,1,877,37,601
"Adamts5",14,598,28,302,2,98,0,314,0,52,0,102,0,30,0,12,0,20,2,116,1,100,2,27,1,168,1,325,6,112
"B130034C11Rik",2,12,2,6,4,16,6,24,20,32,22,18,20,4,14,8,14,4,26,14,0,21,6,2,21,14,31,23,16,36
"Olig1",82,2936,126,7838,78,3992,60,10636,32,324,28,262,18,214,10,218,14,1348,20,288,103,10256,131,5857,36,9356,31,10018,85,12235
"Dscam",26,2608,44,2188,60,816,24,3502,16,232,2,40,0,48,0,70,8,264,16,8,49,1253,14,300,14,3448,6,4047,41,1058
"A630089N07Rik",20,116,16,102,36,70,62,240,52,40,102,12,32,18,44,8,26,12,96,36,6,42,69,155,165,221,131,268,67,70
"1700102H20Rik",4,6,4,4,6,6,2,26,12,12,20,4,8,0,8,12,4,0,12,30,4,11,8,26,8,48,8,42,3,56
"Zdhhc14",98,352,28,106,118,128,136,308,82,4,90,20,122,52,46,10,80,76,92,34,175,190,316,8,138,315,164,380,121,32
"Dynlt1a",22,112,30,138,8,74,14,174,36,26,28,20,18,8,28,18,16,18,20,6,37,177,63,115,47,268,84,218,128,357
"Gm16702",2,220,0,58,16,68,24,148,76,42,48,34,48,20,14,24,22,2,34,24,5,113,4,22,39,201,17,125,24,18
"Pde10a",10,258,6,808,20,242,64,1040,6,44,0,56,8,14,2,66,6,54,42,56,8,373,23,376,7,747,11,1154,50,377
"Igf2r",412,524,520,568,194,554,398,514,22,1182,42,786,64,464,26,430,136,50,22,1012,28,167,123,179,98,564,74,669,150,324
"Zfp960",10,4,4,2,14,4,10,26,28,18,40,16,28,4,10,8,16,0,24,4,14,2,7,0,29,33,29,39,15,1
"Zfp948",38,188,18,546,12,106,26,960,6,42,8,62,8,34,10,14,6,36,22,22,9,182,6,103,37,738,33,871,21,228
"Gm16386",8,62,10,44,2,40,10,72,22,22,10,20,14,10,10,2,10,6,2,6,1,56,1,8,9,54,16,79,36,41
"Mmp25",800,18,2376,2,68,4,452,6,44,8,14,74,32,2,16,2,32,0,34,0,401,2,115,3,674,16,1227,29,596,34
"Ccnf",488,1082,62,1336,116,126,88,1236,442,88,304,62,272,114,228,54,412,100,654,6,406,206,1282,375,1750,1609,1095,1492,1931,1002
"2610019E17Rik",18,32,10,44,4,60,16,68,26,26,64,42,40,32,40,28,50,20,32,44,25,151,31,58,21,146,30,146,33,212
"Rab26",0,8,0,2,2,30,2,4,8,54,0,50,8,14,18,14,8,82,22,70,0,44,1,45,11,25,8,30,13,9
"Syngr3",36,760,24,1252,18,268,16,1550,38,92,16,24,10,30,6,84,0,78,24,130,1,1001,21,490,7,2020,3,2038,3,761
"Noxo1",74,64,20,128,56,30,78,158,96,52,24,8,74,18,54,6,38,2,64,66,122,278,40,169,57,234,113,223,72,41
"Tmem204",44,668,44,388,14,48,30,240,30,14,10,68,14,6,0,28,24,12,8,80,447,34,475,5,162,95,402,91,192,31
"Cacna1h",0,168,0,462,24,62,0,520,2,42,0,6,0,32,0,10,0,60,0,64,16,70,8,140,5,528,0,479,1,601
"Sox8",64,4888,0,1228,24,1010,26,1924,14,42,0,86,0,54,2,76,2,272,2,20,37,1608,3,464,7,1763,4,1499,4,1336
"Chtf18",332,422,120,484,44,146,118,666,182,68,94,50,18,42,20,6,144,24,228,20,196,193,547,393,573,985,303,994,506,615
"Ccdc78",24,234,14,258,18,26,4,606,30,20,8,4,14,4,10,4,14,6,18,4,11,283,26,103,51,1431,48,1865,3,256
"Wdr90",154,612,74,220,16,156,110,466,122,22,76,84,14,8,38,30,122,38,192,84,155,45,187,135,158,393,167,507,199,119
"Fance",76,110,48,444,72,66,48,232,164,14,88,50,106,40,114,12,104,40,114,32,129,319,120,73,90,497,80,525,112,417
"Pi16",160,458,304,164,14,24,78,116,14,20,0,16,16,28,8,24,6,10,8,2,24,30,37,1,216,76,138,36,97,3
"Fgd2",8134,22,3994,6,6366,178,6780,2,12150,246,7550,770,9390,348,5822,520,4520,526,8744,350,12179,23,13207,246,21748,427,18177,90,12272,262
"Pim1",812,72,1262,46,92,166,318,78,110,236,54,204,20,56,34,160,18,8,24,0,66,92,70,5,401,59,411,84,164,30
"Rsph1",4,46,4,24,0,20,16,8,6,458,2,386,0,64,0,194,0,14,2,1698,2,13,11,3,3,42,2,90,2,52
"Cyp4f17",28,98,12,48,14,54,26,88,10,60,2,38,8,60,16,30,2,0,14,18,0,77,1,10,48,90,64,147,17,38
"Zfp811",14,556,0,172,4,108,0,174,8,2,2,22,4,26,8,4,0,2,20,2,0,74,0,68,9,244,0,391,0,70
"Zfp101",262,244,80,252,114,104,28,268,142,106,238,134,200,8,60,62,162,84,232,2,77,215,56,75,169,334,149,366,108,246
"Pram1",110,20,300,10,38,6,164,14,50,4,20,26,68,2,22,14,12,0,26,0,106,2,253,2,207,53,419,49,276,10
"Kifc1",32,132,0,142,16,20,8,166,40,28,24,10,20,20,30,6,28,30,48,2,18,104,53,13,68,60,23,95,57,65
"H2-DMb2",786,2,1458,0,358,42,234,0,102,44,140,480,90,20,78,30,112,0,174,2,568,2,429,15,669,8,872,13,916,32
"H2-Ab1",115178,500,153778,1216,56662,2266,27382,126,3288,1070,1238,6130,1274,406,1352,548,2560,252,1672,226,31917,923,26055,570,51529,1578,43860,637,50516,1467
"H2-Aa",104498,354,124630,414,52782,2204,25608,114,2750,1400,654,6630,832,516,1160,762,2124,182,764,318,21677,446,18818,660,50421,1138,56503,605,34155,1216
"H2-Eb1",76146,320,97528,614,37878,1510,17934,42,2154,648,486,4092,780,326,968,328,1396,178,618,190,16324,312,14915,542,32140,832,32462,324,30673,1063
"C4b",8456,12752,9672,19144,3094,2168,7746,7886,1994,510,146,220,178,48,140,250,226,566,280,394,9193,6686,3800,2958,26753,25022,20491,29975,8157,3920
"C2",328,126,222,52,258,22,466,112,64,60,16,54,120,96,44,88,54,32,40,58,368,1,223,9,716,100,223,66,73,0
"Tnf",62,0,904,2,98,72,106,0,28,64,16,80,4,68,12,22,28,8,22,0,176,0,626,0,441,3,276,2,279,1
"H2-Q4",56,40,86,122,78,66,96,14,42,66,20,26,28,34,8,52,22,4,30,6,40,0,37,6,90,53,18,11,29,7
"H2-Q10",20,10,18,14,8,50,38,8,14,48,4,78,6,8,2,74,4,2,12,0,1,9,2,0,9,8,8,15,1,1
"Ier3",630,444,2364,1794,162,90,828,180,42,272,24,236,26,132,24,182,64,34,60,68,382,1080,624,642,683,1595,1728,1703,2228,1693
"Tnfrsf21",2596,1768,1668,3714,3988,486,3480,2608,1892,80,2056,126,2630,78,1596,114,2176,344,2286,174,4424,1211,4521,520,2339,2240,3427,2459,3094,1566
"Pla2g7",8800,2310,14174,664,1714,1024,5200,780,1084,2362,266,1490,586,650,346,1142,442,514,582,2078,1923,1014,915,1273,7198,2128,15804,1677,4806,599
"Slc25a27",14,366,38,182,26,138,10,184,30,68,24,68,32,22,4,16,38,6,50,4,21,98,3,73,18,390,19,383,25,142
"Clic5",16,780,34,2128,4,758,12,2262,10,52,0,42,0,42,0,32,0,136,0,8,3,728,6,1138,24,2028,27,2878,6,1684
"Runx2",70,134,172,50,42,258,76,20,4,298,6,218,20,102,16,134,22,2,12,22,30,68,34,38,94,33,171,47,49,27
"Ttbk1",6,46,4,142,14,70,2,192,12,12,0,32,4,6,0,32,0,16,4,6,2,62,0,140,9,140,2,222,1,152
"Ptk7",26,738,16,636,0,70,4,656,2,12,0,32,0,6,0,24,8,6,12,4,3,208,2,40,20,301,10,338,43,234
"Trerf1",324,210,570,180,86,138,150,232,26,482,46,114,74,42,22,48,34,36,54,10,108,193,80,104,170,400,252,406,116,194
"Emr4",1290,0,2094,6,152,6,1150,0,160,8,56,0,340,0,86,8,52,78,184,0,56,0,0,16,952,3,1236,5,137,0
"Sema6b",14,34,26,38,8,50,18,30,54,6,20,12,46,2,16,4,20,4,44,4,14,64,31,30,41,61,69,48,42,41
"Tubb4a",932,5338,1190,5068,276,4368,888,5924,136,830,104,690,54,376,76,696,86,996,174,1262,132,6269,103,3760,115,7753,116,9392,188,3508
"Tnfsf9",78,110,292,248,14,56,74,160,18,32,6,20,4,0,6,32,6,18,12,8,94,160,130,32,186,528,208,366,279,294
"C3",20432,82,16586,92,5378,122,8078,20,628,10,568,10,352,2,196,118,818,64,448,18,4923,172,1168,580,5972,173,2984,23,434,195
"Lama1",32,1598,6,384,0,44,22,418,2,30,6,22,8,10,0,36,0,10,0,48,41,7,6,4,18,115,0,152,72,5
"Ehd3",148,2008,142,4102,30,1878,74,3106,38,1548,8,2604,8,1104,14,1500,24,350,28,802,10,2386,4,1274,32,4235,44,4875,55,2256
"Galm",336,8,216,14,310,228,460,40,100,752,96,676,126,226,92,250,150,30,104,1234,489,2,537,86,343,69,771,71,720,79
"Greb1l",0,90,12,36,28,10,8,84,42,8,18,24,32,6,26,16,14,4,30,4,12,35,13,18,20,113,8,116,26,19
"Cdh2",68,2564,28,2176,2,560,64,2528,10,150,26,220,30,122,2,112,4,110,26,110,11,810,17,424,9,2055,11,2465,17,886
"Ttr",7424,13812,3612,1340,1532,12068,16,30,1698,797238,1932,439338,654,122624,506,161026,1096,23090,1746,1965576,7,129,37,280,66,4540,17,609,85,10755
"Syt4",28,1056,64,5046,20,142,8,528,38,120,10,110,10,22,16,60,10,64,28,144,19,308,6,314,12,3775,21,1972,29,917
"Gpr17",538,15640,176,3432,30,966,150,6496,12,76,6,70,2,72,38,160,0,432,14,76,33,3888,42,894,31,15268,14,11118,33,6166
"Nme5",38,40,2,2,0,34,6,18,2,566,2,348,0,134,10,104,0,6,6,1380,2,135,0,43,3,75,1,63,14,103
"Kif20a",190,2280,128,2400,430,312,218,2442,862,238,1002,146,710,56,606,114,596,158,1300,12,305,1609,850,1014,2304,2384,1623,3364,1997,2367
"Cdc25c",22,904,28,876,64,42,24,1034,184,22,178,36,154,0,74,38,94,66,210,10,27,719,130,555,355,1134,246,1444,276,1631
"Egr1",1490,982,5072,4068,1062,116,3120,590,132,156,78,108,122,6,70,42,218,116,110,100,907,2768,859,2246,549,7258,414,5082,440,3907
"Lrrtm2",72,4082,34,1676,54,562,72,2030,86,128,36,74,36,28,36,86,0,206,56,192,54,985,30,452,47,2893,44,3268,26,1303
"Ecscr",312,140,124,224,182,26,726,30,28,0,8,20,24,0,18,0,138,34,58,44,3620,56,3595,139,2337,104,5798,50,3950,160
"Hbegf",72,196,238,782,30,186,26,622,12,176,8,160,16,98,2,50,2,98,40,124,44,689,93,1302,58,870,44,1410,56,774
"Cd14",3336,4,16276,28,2822,74,13028,20,8976,256,11008,384,4580,222,4998,314,8296,796,14344,468,16824,381,16749,676,14426,301,12180,204,14931,298
"Pcdhb5",2,486,8,398,20,36,6,440,4,12,0,2,0,2,0,6,0,8,2,6,0,187,0,50,3,298,2,365,1,135
"Pcdhb7",8,556,0,666,16,112,4,364,16,104,4,40,0,4,0,20,0,38,2,90,1,372,0,117,2,679,17,1206,25,303
"Pcdhb9",0,490,0,220,0,50,10,410,2,44,0,52,0,28,0,16,0,2,0,60,3,189,0,106,5,431,3,768,0,320
"Pcdhb11",0,158,0,164,0,44,2,100,0,28,0,58,0,34,0,10,4,6,0,8,0,101,0,94,5,107,2,196,0,5
"Pcdhb14",0,326,26,358,18,58,12,274,2,96,0,30,2,34,0,8,0,28,0,50,1,248,0,1,15,283,14,420,3,105
"Pcdhb16",2,444,2,356,0,136,32,454,4,6,8,16,6,20,2,6,0,72,0,34,1,234,0,98,5,473,15,537,0,66
"Pcdhb17",0,228,0,466,6,86,2,338,6,20,12,46,0,28,0,10,0,26,0,8,0,118,2,88,17,484,12,525,0,169
"Pcdhb19",0,312,34,268,0,60,2,254,0,4,0,18,0,2,4,28,0,12,0,8,3,255,5,88,1,359,12,581,2,34
"Pcdhb20",4,550,4,768,0,150,28,404,0,78,30,138,0,2,0,22,0,46,0,38,1,403,18,85,17,624,19,1036,8,44
"Pcdhga4",62,180,48,90,52,28,36,260,102,16,26,4,82,32,32,2,50,2,74,16,122,26,81,40,160,162,131,336,69,22
"Pcdhga5",44,224,26,158,52,10,58,92,24,44,34,14,60,2,26,20,28,2,32,4,92,112,99,77,127,132,79,139,80,245
"Pcdhgb6",66,258,34,188,40,46,4,198,16,24,14,22,24,2,4,18,8,16,24,20,71,154,81,1,124,230,56,150,24,116
"Pcdhgb7",26,300,26,210,30,86,22,172,10,64,40,24,14,8,0,28,0,14,24,64,52,330,37,19,49,226,46,201,56,107
"Pcdhgc4",12,860,2,744,2,68,2,512,6,18,0,38,0,2,2,12,0,8,12,24,0,353,14,220,12,1020,18,1342,29,230
"Pcdhgc5",16,390,16,758,0,74,2,228,8,8,0,20,8,2,0,12,2,10,0,46,15,242,1,67,2,1006,12,1251,3,561
"Arhgap26",194,46,250,50,134,350,168,100,60,628,48,432,50,136,36,178,64,94,46,36,133,171,75,179,207,127,238,199,115,15
"Gm4013",8,6,14,6,10,20,20,2,28,110,28,66,20,22,14,36,8,10,16,190,11,4,11,7,18,25,19,11,15,15
"Stk32a",10,1358,34,1792,0,208,38,1486,26,54,24,110,34,10,18,66,18,74,34,284,68,1018,2,584,18,2312,11,2665,37,2358
"Dpysl3",72,5692,82,4618,38,1672,60,3636,14,150,0,112,4,162,0,148,2,592,10,96,43,2536,41,1951,19,10376,42,6648,27,4273
"Ccdc112",38,100,4,138,58,86,12,114,58,12,100,14,88,22,46,12,42,42,80,42,33,55,28,124,38,241,36,214,40,164
"Cdo1",564,588,192,2176,450,798,256,1566,6,268,22,220,8,320,8,232,54,294,18,198,59,4228,68,1199,31,1970,111,2695,96,2192
"Sema6a",26,2502,134,3900,16,580,66,4824,46,74,2,76,10,78,12,46,6,108,10,40,13,1115,42,312,20,3992,14,4502,17,1197
"Lox",132,252,76,150,824,48,500,58,188,6,462,78,402,62,262,44,470,10,238,2,421,3,312,6,123,54,85,17,22,10
"Ctxn3",8,60,0,18,0,44,8,36,0,256,10,568,0,406,4,508,10,132,4,424,0,53,0,2,1,332,8,72,7,67
"Fbn2",92,2144,98,6308,128,512,94,6912,776,14,1078,50,550,20,780,74,880,506,1206,44,82,1085,41,709,31,8065,29,7326,51,1922
"Csf1r",89080,208,49666,76,75560,946,85234,34,117702,2156,103010,2648,115900,1802,74542,3862,80754,5466,146184,2436,339741,3167,231854,3519,265584,3217,227910,790,211653,2970
"Pcyox1l",636,640,498,1428,236,190,404,1118,306,90,360,68,206,22,144,80,298,36,472,282,593,632,642,374,613,1197,500,1239,529,1178
"Sh3tc2",24,520,16,396,0,204,0,538,4,2,0,8,0,48,0,2,0,6,10,38,1,193,0,120,14,745,11,207,15,291
"Fam38b",12,1064,10,452,4,146,26,244,0,72,10,64,0,64,0,88,2,24,4,16,14,10,1,65,15,130,0,87,73,29
"Ccbe1",0,14,0,40,0,68,2,168,2,4,0,14,2,26,0,4,0,6,0,16,5,19,1,100,2,13,0,16,2,37
"Tubb6",1272,1110,3582,7550,838,574,2278,6388,322,56,552,180,282,12,342,70,722,296,612,66,2553,4793,3351,4921,3357,13660,5055,16307,5634,10154
"Rab27b",0,104,0,330,18,248,0,202,8,48,0,110,0,2,6,84,0,30,10,56,1,727,40,386,3,409,12,811,16,23
"4930503L19Rik",268,588,170,504,150,240,220,770,178,144,158,154,164,6,26,88,168,60,252,26,166,363,152,146,359,698,463,1162,209,163
"Dcc",18,668,4,494,10,234,10,956,4,62,6,112,6,78,0,18,2,120,2,4,2,265,7,287,6,1131,4,1135,51,121
"Ska1",122,490,28,608,18,110,8,664,148,28,104,36,52,34,68,30,114,56,158,16,32,347,183,290,206,607,197,629,224,707
"Rnf165",14,278,0,222,4,148,0,306,4,68,0,20,0,30,0,6,0,18,20,80,2,43,0,155,21,283,3,350,0,159
"8030462N17Rik",32,26,12,52,8,46,42,28,46,32,26,10,14,12,0,4,18,2,28,36,28,29,14,19,48,20,32,34,15,33
"Pstpip2",1152,216,1636,1630,178,96,516,1306,176,72,82,72,144,6,32,4,22,112,60,60,169,329,88,743,1118,4291,985,2478,258,1698
"Sall3",602,3312,958,4340,948,852,934,6372,850,66,606,42,800,18,450,48,478,386,622,42,2003,1759,2729,1336,2610,4621,1947,4823,1808,3573
"Fam69c",0,320,6,188,2,102,0,180,6,34,0,18,10,42,0,26,0,20,0,40,0,179,0,42,1,201,5,287,3,246
"Neto1",2,534,2,294,0,356,4,696,2,10,0,40,6,6,0,2,14,104,12,36,7,412,1,285,1,949,1,732,5,315
"Ptprcap",134,16,196,8,20,1682,28,8,8,3098,8,2452,18,1216,12,1216,10,14,6,2,37,4,33,6,18,13,12,9,30,18
"Ctsw",298,16,308,8,26,3856,38,12,8,4206,10,4446,16,2290,18,3006,4,2,12,12,53,29,7,15,37,32,27,43,37,65
"Ltbp3",22,670,38,434,38,124,20,414,10,326,8,248,8,200,24,84,16,96,12,700,54,233,47,100,8,394,29,557,51,618
"Batf2",130,58,310,164,142,28,114,8,80,12,26,2,26,8,14,4,36,0,20,8,91,1,128,0,792,334,243,11,144,1
"Ehd1",464,792,1996,2562,254,514,1424,2278,150,654,166,330,30,90,70,214,244,166,304,530,1097,1441,1839,1330,1336,2426,1791,2976,2834,2354
"Ppp1r14b",48,244,66,346,62,604,86,1154,90,48,114,28,68,46,96,18,108,226,116,38,119,968,252,994,100,1463,62,860,222,1264
"2700081O15Rik",32,480,72,444,74,128,68,444,164,52,164,30,118,36,94,36,64,52,70,12,110,75,122,132,60,476,68,413,100,196
"Slc22a6",0,16,0,24,0,4,0,18,0,24,0,76,0,62,0,92,0,68,0,38,1,0,0,42,4,46,0,60,6,0
"Rom1",78,20,74,68,40,72,46,8,70,260,50,190,30,98,42,130,40,88,32,344,163,147,75,120,90,72,75,92,95,79
"Ahnak",1888,2062,2724,864,340,3164,1394,566,298,4238,88,6492,78,3392,60,3366,76,686,96,1108,206,1024,509,2673,1815,744,1261,238,392,860
"Gm98",78,366,32,148,28,182,14,432,6,72,10,18,2,18,14,66,22,38,10,102,5,130,11,44,21,395,10,288,0,135
"Cd6",156,16,198,8,22,3428,106,128,2,4662,6,3126,10,1490,40,1562,8,12,10,6,3,11,3,7,10,15,6,1,5,14
"Stx3",392,12,498,16,112,42,146,24,44,68,56,122,46,24,48,56,86,32,72,244,121,28,122,98,250,76,264,86,215,46
"Gna14",52,50,110,22,172,22,104,18,20,34,32,0,10,14,10,2,48,2,12,2,364,30,72,1,449,9,348,69,64,37
"Anxa1",1288,2866,1774,860,188,130,1170,478,740,802,20,2198,298,928,66,1230,38,286,434,590,123,611,185,1460,1004,786,1528,162,587,649
"Gda",516,50,770,20,50,64,420,20,170,286,12,108,18,54,16,108,30,42,30,134,91,175,58,339,476,12,575,33,149,5
"Tmem2",358,414,466,534,94,544,294,656,32,146,26,500,70,210,42,220,74,86,74,98,123,347,339,193,342,425,294,552,236,110
"Pip5k1b",82,28,54,2,2,38,24,14,10,934,4,468,12,130,10,120,0,24,0,1980,4,14,0,149,21,35,22,50,17,68
"Kank1",176,5202,144,1550,20,974,94,1862,26,234,6,214,10,44,14,196,6,302,4,520,7,2236,7,591,24,2061,20,2902,37,775
"Slc1a1",148,6986,166,3590,8,788,190,2918,44,198,28,148,18,42,4,50,14,120,22,66,17,1601,20,634,10,8379,8,5211,16,2572
"Prkg1",50,508,26,640,6,188,12,520,12,42,0,12,6,8,0,46,4,76,0,2,21,247,0,51,3,530,5,945,26,385
"Ch25h",114,30,3242,26,110,6,490,0,12,2,106,0,10,0,56,4,116,0,16,0,2555,98,2236,80,1601,63,1598,23,3001,88
"Kif20b",182,898,68,1000,220,304,130,1316,626,120,390,176,386,38,120,112,232,98,674,2,97,203,144,667,730,898,545,931,422,648
"Kif11",228,2462,78,3036,124,486,120,2752,624,394,494,122,440,78,272,94,396,188,680,46,80,792,407,701,1297,2014,782,2604,683,1943
"Myof",470,520,726,316,162,4,294,62,48,274,4,264,16,200,2,80,30,20,2,598,164,164,112,517,539,136,645,46,158,113
"Cep55",144,258,120,562,132,110,104,568,372,32,336,76,320,32,148,46,212,86,564,26,57,422,249,707,583,453,619,741,477,790
"Sema4g",106,96,2,84,80,42,104,128,288,6,264,24,304,6,184,20,98,34,170,42,143,86,142,8,90,135,92,110,82,84
"Tmem180",234,460,260,456,338,180,416,490,164,96,196,22,192,54,142,28,228,44,210,126,347,420,291,322,253,678,415,386,532,471
