"","X49041_Reb_TAM","X49041_Reb_TC","X49059_Reb_TAM","X49059_Reb_TC","X49827_Reb_TAM","X49827_Reb_TC","X49849_Reb_TAM","X49849_Reb_TC","X49823_EP_TAM","X49823_EP_TC","X49825_EP_TAM","X49825_EP_TC","X49830_EP_TAM","X49830_EP_TC","X49831_EP_TAM","X49831_EP_TC","X49843_EP_TAM","X49843_EP_TC","X49845_EP_TAM","X49845_EP_TC","X54359_Veh_TAM","X54359_Veh_TC","X54363_Veh_TAM","X54363_Veh_TC","X57098_Veh_TAM","X57098_Veh_TC","X57682_Veh_TAM","X57682_Veh_TC","X64247_Veh_TAM","X64247_Veh_TC"
"Slc22a23",54,2024,68,1086,38,446,34,1716,48,36,28,22,18,58,10,68,8,98,18,4,4,573,11,295,16,1593,27,1398,48,830
"1300014I06Rik",548,1220,548,4730,784,556,914,2584,550,38,696,170,648,42,502,88,684,284,774,52,897,2336,625,1894,523,2547,831,4189,766,2824
"Nedd9",1426,1032,2480,668,438,2322,1044,1098,158,3586,178,3030,218,1146,52,1540,78,96,246,586,559,543,320,130,1086,1025,1907,1103,670,610
"Rnf144b",788,664,798,652,124,228,314,614,236,24,174,90,318,28,120,22,184,92,226,200,621,433,542,251,1064,972,792,828,423,270
"S1pr3",60,1050,102,786,0,54,72,642,0,46,0,30,0,10,0,100,0,12,0,6,1,324,28,423,14,201,19,608,7,109
"Shc3",2,118,0,138,10,66,6,238,8,32,2,8,0,6,8,34,0,40,6,30,5,177,0,113,3,330,4,381,5,365
"Cks2",110,222,104,320,76,70,40,462,182,70,158,34,134,18,74,20,134,66,226,28,86,407,187,432,212,406,142,377,230,1101
"Gm2848",14,0,12,0,14,0,4,0,4,0,2,10,6,0,4,0,2,0,2,0,0,0,2,0,3,0,9,0,4,0
"Nfil3",348,68,418,50,126,64,200,186,102,70,98,30,50,34,36,18,28,44,90,164,150,131,114,48,124,82,173,87,341,50
"Arl10",92,62,110,96,120,38,158,88,178,24,152,8,210,28,86,22,126,6,160,22,281,71,386,1,184,71,140,173,127,90
"Gprin1",2,22,0,36,2,14,0,34,2,10,2,6,0,22,2,4,0,2,4,28,1,37,0,49,1,48,2,64,8,63
"Sncb",2,6,6,6,10,172,4,4,36,194,12,162,20,126,26,152,20,64,30,220,21,390,3,346,7,126,12,77,3,109
"Mxd3",18,274,12,324,14,66,18,378,74,48,42,50,14,48,36,30,64,72,60,0,52,152,189,205,93,280,58,291,190,428
"Tifab",3128,10,3590,20,2648,84,3646,8,2800,100,3102,146,2600,42,1692,142,1878,168,3920,104,8782,12,8059,111,11272,169,10850,31,5386,22
"Tgfbi",12218,2872,22280,1170,1222,106,8634,546,1874,288,436,594,518,688,390,730,874,180,764,240,4782,64,7993,298,17002,603,39090,483,18254,708
"Gas1",38,514,8,252,100,130,34,366,288,166,126,186,202,194,134,146,134,104,182,162,36,307,15,259,15,479,31,710,13,390
"Ctla2a",180,38,148,14,66,1062,118,24,34,1680,30,668,24,520,8,618,70,26,46,124,52,65,39,304,32,28,66,6,55,232
"6720489N17Rik",146,176,46,118,56,158,66,202,90,68,116,18,58,20,60,30,64,4,146,38,54,12,43,53,126,170,91,271,150,84
"Gm5141",42,182,84,154,90,136,42,210,154,106,146,84,108,54,18,54,128,6,166,2,58,3,87,101,135,160,144,247,130,18
"Zfp759",54,86,76,66,36,94,72,146,144,30,118,52,98,38,68,40,90,2,82,8,29,0,76,54,145,183,80,114,80,40
"Zfp459",12,54,4,46,18,22,10,10,28,14,34,42,40,2,12,28,38,16,62,20,39,45,8,35,37,61,39,26,22,50
"BC048507",10,24,12,34,8,20,12,20,10,8,4,6,4,2,2,4,12,16,8,24,10,48,21,36,12,32,8,32,14,82
"Adcy2",30,6,10,16,8,64,4,2,36,114,8,184,12,62,18,118,12,30,38,216,4,119,0,94,3,36,2,82,3,2
"Srd5a1",58,928,10,290,44,172,76,482,40,68,58,118,60,2,38,32,70,64,66,188,77,221,25,164,99,908,105,622,22,500
"Lpcat1",142,202,154,236,276,36,310,322,192,22,154,66,152,2,78,32,148,24,216,24,297,265,403,52,293,400,201,573,145,177
"Trip13",102,218,90,392,78,68,94,564,134,46,158,24,90,30,58,20,154,50,192,48,74,652,189,576,264,663,182,638,185,1085
"Vcan",246,14184,170,7858,32,2538,190,9002,118,270,2,118,6,210,14,144,2,796,18,72,106,1922,29,235,209,3752,44,8192,97,2329
"4833422C13Rik",6,114,0,126,0,26,0,126,18,16,2,28,16,10,6,20,12,18,12,12,1,94,1,18,3,127,9,215,7,84
"Serinc5",440,8356,328,5198,132,1542,172,5668,266,248,178,376,214,76,142,112,120,480,228,296,180,2936,108,617,333,16156,386,10594,225,6461
"Cmya5",8,0,6,2,4,44,2,14,16,38,4,74,58,58,10,16,48,4,14,2,9,0,41,2,85,12,40,8,11,0
"Iqgap2",442,202,402,372,10,510,174,574,20,884,2,380,16,298,6,252,10,80,14,488,33,162,54,327,97,200,214,370,138,236
"Ankdd1b",8,82,24,50,26,16,22,70,8,6,8,22,6,4,36,2,2,26,18,26,21,97,10,22,27,93,32,100,23,26
"Rgnef",54,784,32,532,16,300,20,596,4,216,2,272,8,186,6,226,12,146,12,180,5,720,13,272,13,605,9,892,12,366
"Serf1",158,498,138,536,134,410,168,656,124,44,196,94,94,14,120,68,172,168,200,88,175,1059,226,947,150,753,223,861,195,986
"Ocln",256,34,88,4,228,16,98,10,194,690,178,560,204,26,112,110,96,64,226,1942,158,21,137,30,545,132,246,27,41,1
"Ccdc125",290,0,256,2,38,72,116,10,36,48,12,256,6,82,10,62,4,22,14,42,24,9,3,46,105,30,314,9,83,12
"Cenph",96,178,4,194,50,32,42,300,66,16,58,20,44,12,66,16,98,44,132,14,36,99,68,154,125,219,91,376,122,197
"Ccnb1",154,2644,88,4096,304,176,158,4166,680,198,680,100,504,48,296,64,392,190,954,28,141,2829,902,1950,1502,3482,1107,5224,1262,5954
"Rnf180",1168,1788,792,2750,1354,526,1292,2358,1170,120,826,88,1368,76,800,86,728,160,1178,62,883,2206,818,820,1872,3109,1942,3582,741,2700
