,x,
993,Nlrp1a,VWA1
994,Itgae,PCBP4
995,Rtn4rl1,ST6GALNAC5
996,Serpinf1,PPM1L
997,Unc119,MCM10
998,Gm11201,CHCHD10
999,Myo1d,PTRH1
1000,Tmem98,PURG
1001,Cct6b,PTK7
1002,Slfn1,CDKN2A
1003,Cuedc1,PEG10
1004,Mycbpap,CALML4
1005,Hoxb4,CCDC14
1006,Rara,CST7
1007,Igfbp4,NACAD
1008,Ccr7,PIEZO2
1009,Zfp385c,SORCS2
1010,Ptrf,TMEM158
1011,Vat1,LPHN3
1012,Rnd2,SH3TC2
1013,Meox1,SAMD14
1014,Pecam1,FBN2
1015,LOC100503496,SERINC5
1016,Cd300lb,PCP4L1
1017,Rab37,TNIP3
1018,9-Sep,PBK
1019,Socs3,PCDHGB6
1020,Metrnl,FBXO41
1021,Rnf144a,CCNE2
1022,Pygl,TENM2
1023,Actn1,FAM196A
1024,Batf,PCDHGA5
1025,2610021K21Rik,SNTG1
1026,Gpr68,BAI1
1027,Fbln5,TAGLN
1028,5033406O09Rik,SPRN
1029,Gpr132,B3GAT1
1030,Pfkp,RAP1GAP
1031,Hist1h1b,GPR68
1032,Hist1h3d,USP50
1033,Fam65b,KIRREL3
1034,Nedd9,EPS8L2
1035,Gm2848,CACNG5
1036,Nfil3,FZD3
1037,Sncb,MANSC1
1038,Mxd3,PDE10A
1039,Tgfbi,HHAT
1040,Gas1,NOVA1
1041,Ctla2a,TRERF1
1042,Zfp459,TIFAB
1043,Cmya5,PCDH7
1044,Iqgap2,SALL3
1045,Rgnef,ARHGEF28
1046,Ccdc125,TMTC1
1047,Pde4d,CDCA3
1048,Plk2,ACVR1B
1049,Emb,PLXNB3
1050,Gm7120,APC2
1051,Dnase1l3,GPR17
1052,Nt5dc2,BCAT1
1053,Ptger2,SLCO1C1
1054,Samd4,GALNT6
1055,Lgals3,PDGFRL
1056,Gm16617,PRRG1
1057,Mir16-1,ARMCX6
1058,Fzd3,CYFIP2
1059,Sorbs3,EVI5L
1060,Tbc1d4,GAS2L3
1061,Dab2,ANKS1B
1062,Trps1,FKBP11
1063,Fam84b,TIMELESS
1064,Myc,PROX2
1065,4930572J05Rik,NRXN3
1066,Ly6i,XRCC3
1067,Ly6a,ITGA7
1068,Ly6c2,ADAM8
1069,Plec,TMEM204
1070,Pdxp,NETO2
1071,Lgals1,MRC1
1072,Gm16576,ELFN1
1073,Fam109b,PECAM1
1074,Mapk8ip2,PCDHGA4
1075,Nell2,MMP12
1076,Troap,DPEP2
1077,Galnt6,WSCD1
1078,Slc4a8,BAHCC1
1079,Itgb7,CUEDC1
1080,Rarg,TMEM98
1081,Nlrc3,IKBKE
1082,Ciita,GREB1L
1083,Scarf2,SPC24
1084,Snora81,APOC1
1085,Apod,IER2
1086,Iqcg,RND2
1087,Cd80,APOC2
1088,Cd200r4,WTIP
1089,Btla,LRFN3
1090,Retnlg,SEMA6B
1091,B130034C11Rik,APOC4
1092,Olig1,ACP5
1093,1700102H20Rik,ANKDD1B
1094,Igf2r,CCDC61
1095,Zfp960,LRRC4B
1096,Mmp25,IL4I1
1097,2610019E17Rik,ZIK1
1098,Pim1,PCDHB16
1099,Cyp4f17,SYT6
1100,Pram1,SCARF2
1101,H2-DMb2,NR1H3
1102,H2-Ab1,KANK1
1103,H2-Aa,PCDHB9
1104,H2-Eb1,SYT16
1105,C2,AIFM2
1106,Tnf,EHD1
1107,H2-Q4,ECSCR
1108,H2-Q10,MYO19
1109,Ier3,MYC
1110,Pla2g7,ALOX5AP
1111,Runx2,COL19A1
1112,Trerf1,LSR
1113,Emr4,SRRM3
1114,Tubb4a,SLC9A7
1115,Tnfsf9,E2F8
1116,C3,GRIA3
1117,Ehd3,SPRY1
1118,Cdc25c,ABCG4
1119,Ecscr,FAM13C
1120,Hbegf,FXYD6
1121,Arhgap26,HSH2D
1122,Cdo1,CRABP2
1123,Ptprcap,FAM65B
1124,Ctsw,MTUS2
1125,Ltbp3,HIST1H2AB
1126,Batf2,TSPAN33
1127,Ehd1,PHF19
1128,Ahnak,CD24
1129,Gm98,SMTN
1130,Cd6,IFITM2
1131,Stx3,CDH4
1132,Gna14,CIITA
1133,Anxa1,
1134,Gda,
1135,Tmem2,
1136,Kank1,
1137,Ch25h,
1138,Myof,
1139,Gsto2,
1140,Adrb1,
1141,Itih5,
1142,Prkcq,
1143,Mrc1,
1144,Etl4,
1145,Il1rn,
1146,Ralgds,
1147,6530402F18Rik,
1148,Ptges2,
1149,Ptrh1,
1150,Phf19,
1151,Traf1,
1152,Gsn,
1153,Kynu,
1154,Lypd6,
1155,Rnd3,
1156,Tanc1,
1157,Slc4a10,
1158,Dpp4,
1159,Nr1h3,
1160,Ldlrad3,
1161,Cd59a,
1162,Aven,
1163,Atp8b4,
1164,Usp50,
1165,Il1b,
1166,Siglec1,
1167,Cst7,
1168,Id1,
1169,Tgm2,
1170,Ube2c,
1171,Pltp,
1172,Cd40,
1173,5031425F14Rik,
1174,B4galt5,
1175,Mocs3,
1176,Cass4,
1177,Col20a1,
1178,Zbtb46,
1179,Fabp5,
1180,Cldn11,
1181,Gpr171,
1182,Gucy1b3,
1183,Tmem154,
1184,Sh3d19,
1185,Sh2d2a,
1186,S100a6,
1187,S100a11,
1188,Anxa9,
1189,Ecm1,
1190,Cd2,
1191,Dennd2d,
1192,Csf1,
1193,Fndc7,
1194,Vav3,
1195,D3Bwg0562e,
1196,Arhgap29,
1197,Gbp5,
1198,Enho,
1199,E130306D19Rik,
1200,Glipr2,
1201,AI427809,
1202,Tnfsf8,
1203,Nfib,
1204,Cyp2j6,
1205,Dhcr24,
1206,Pdzk1ip1,
1207,Tctex1d4,
1208,Ptprf,
1209,Cdc20,
1210,Mycl1,
1211,Fabp3,
1212,Fgr,
1213,Nr0b2,
1214,Runx3,
1215,Id3,
1216,B330016D10Rik,
1217,Tmem82,
1218,Tmem51,
1219,Gm13139,
1220,Gpr153,
1221,Tnfrsf18,
1222,Abcb4,
1223,Cd38,
1224,Pcdh7,
1225,Arap2,
1226,Pdgfra,
1227,Stap1,
1228,Cxcl9,
1229,Cxcl11,
1230,Stbd1,
1231,Plac8,
1232,Hpse,
1233,Gbp8,
1234,Gbp6,
1235,Lrrc8c,
1236,Myl2,
1237,Niacr1,
1238,Hip1r,
1239,Hip1,
1240,Pilrb1,
1241,Pilrb2,
1242,Gjc3,
1243,Fam20c,
1244,Card11,
1245,Lmtk2,
1246,Flt1,
1247,Samd9l,
1248,Asb4,
1249,Tfec,
1250,A430107O13Rik,
1251,Impdh1,
1252,Cald1,
1253,Gpnmb,
1254,Tnip3,
1255,Plxna1,
1256,Bhlhe40,
1257,Plxnd1,
1258,Clec4a1,
1259,Cd4,
1260,Vwf,
1261,Ccnd2,
1262,Clec12a,
1263,Olr1,
1264,Bcl2l14,
1265,Plbd1,
1266,Mgst1,
1267,Bhlhe41,
1268,Fam60a,
1269,D030047H15Rik,
1270,Pglyrp1,
1271,Apoc2,
1272,Apoc4,
1273,Apoc1,
1274,Bcl3,
1275,Kcnn4,
1276,Plaur,
1277,Cd79a,
1278,Lsr,
1279,Wtip,
1280,Napsa,
1281,Il4i1,
1282,Snord35a,
1283,A330076H08Rik,
1284,Ndn,
1285,Anpep,
1286,Gm15880,
1287,Fah,
1288,Odz4,
1289,Folr2,
1290,Il18bp,
1291,Wee1,
1292,Ampd3,
1293,Mical2,
1294,Crym,
1295,Sbk1,
1296,1-Sep,
1297,Prss53,
1298,Tgfb1i1,
1299,Lrrc27,
1300,Adam8,
1301,Ifitm2,
1302,Sigirr,
1303,Tnfrsf26,
1304,Efnb2,
1305,F10,
1306,Arhgef10,
1307,Angpt2,
1308,Fgfr1,
1309,Rab11fip1,
1310,Dusp26,
1311,Msr1,
1312,Zdhhc2,
1313,Pdgfrl,
1314,Gm16675,
1315,Enpp6,
1316,Stox2,
1317,Nr2f6,
1318,Ankle1,
1319,Hsh2d,
1320,Calr3,
1321,Cd97,
1322,Il27ra,
1323,Ier2,
1324,4933436C20Rik,
1325,Pllp,
1326,Dpep2,
1327,Mlkl,
1328,Osgin1,
1329,Pard3,
1330,Mmp12,
1331,Acp5,
1332,Gramd1b,
1333,Cd3d,
1334,Amica1,
1335,Zbtb16,
1336,Uaca,
1337,Anxa2,
1338,Myo1e,
1339,Il20rb,
1340,Dusp7,
1341,Pcbp4,
1342,Mapkapk3,
1343,Gmppb,
1344,Ccdc36,
1345,Acvr2b,
1346,Xcr1,
1347,Ccr1,
1348,Ccr2,
1349,Mbnl3,
1350,4930502E18Rik,
1351,F630028O10Rik,
1352,Cxcr3,
1353,Arl13a,
1354,Reps2,
