,x,
226,Slc22a23,ANK1
227,1300014I06Rik,ABCB4
228,Rnf144b,BRINP1
229,S1pr3,KCNC1
230,Shc3,DOCK3
231,Cks2,PHLDA1
232,Arl10,ITGB7
233,Gprin1,DISP2
234,Tifab,CDH13
235,6720489N17Rik,CDH2
236,Gm5141,ASGR1
237,Zfp759,RNF165
238,BC048507,IGFBP4
239,Adcy2,CALR3
240,Srd5a1,LMTK3
241,Lpcat1,SLC47A1
242,Trip13,SLC44A3
243,Vcan,NUF2
244,4833422C13Rik,S100A11
245,Serinc5,GALM
246,Ankdd1b,MEIS1
247,Serf1,CCNA2
248,Ocln,SRD5A1
249,Cenph,PLK2
250,Ccnb1,IQGAP2
251,Rnf180,ARHGAP26
252,Dlg5,PCYOX1L
253,4931406H21Rik,LRRTM2
254,Grid1,TRIM7
255,Styx,PLA2G7
256,Cdkn3,FGD2
257,3632451O06Rik,DLC1
258,Il17d,CDKN2B
259,F630043A04Rik,ZNF462
260,Sacs,SLC43A1
261,Fam124a,TENM4
262,Pbk,CAPN5
263,Esco2,ROM1
264,Cdca2,NINL
265,Bmp1,FAM124A
266,Lgi3,PRSS53
267,Hr,CCRN4L
268,Nudt15,KCNA6
269,Kctd4,ANK3
270,Enox1,KHDRBS2
271,Pcdh17,PTPRO
272,Pcdh9,TMEM163
273,6720463M24Rik,SPC25
274,Slitrk1,KCNK13
275,Slitrk5,FLT1
276,Cdh6,IGSF10
277,Cdh10,GRIA4
278,Sema5a,CENPH
279,Tspyl5,SCN3A
280,Pop1,LPCAT1
281,Fzd6,JAZF1
282,Csmd3,SEMA3D
283,Aard,ATP8B4
284,Nov,ADAMTS5
285,Dscc1,SKA1
286,Trib1,CCDC146
287,Kcnq3,CSF1R
288,Bai1,MMP16
289,Zfp41,BATF
290,Rhpn1,NAAA
291,Zc3h3,CXCL13
292,Zfp623,LHFPL4
293,Foxred2,B3GNT7
294,Mpst,ZFYVE9
295,C1qtnf6,KIT
296,Elfn2,MYO1E
297,Sox10,DGKI
298,Gm10863,SMAD6
299,Cenpm,RHPN1
300,Scube1,FCER1G
301,1810041L15Rik,CELF3
302,Wnt7b,TRIM62
303,Gtse1,NR2F6
304,Cpne8,RSPH1
305,Pus7l,CCR2
306,Zfp641,LTC4S
307,Fkbp11,COX7A1
308,Accn2,CELA1
309,Csrnp2,WDR90
310,Cela1,CCDC78
311,Acvr1b,SOX8
312,Krt1,PDZK1IP1
313,Zfp174,PTCHD2
314,Dnase1,CAPN2
315,Fam18a,LRRTM1
316,Cebpd,FAM84A
317,Ypel1,FRZB
318,Serpind1,INHBB
319,Aifm3,COL6A3
320,Cdc45,STK36
321,Map6d1,CCR1
322,Map3k13,POC1A
323,Il1rap,PRSS12
324,1600021P15Rik,GRIA2
325,Ccdc14,IL15
326,Mylk,ENPP6
327,Sema5b,TNFRSF21
328,Polq,STEAP1
329,Mir568,FABP5
330,C330027C09Rik,SLC13A4
331,Rbm11,LMTK2
332,Ncam2,RGS20
333,Adamts5,CSMD3
334,Dscam,NFIL3
335,A630089N07Rik,ANKS6
336,Zdhhc14,FOLR2
337,Dynlt1a,FRMD7
338,Gm16702,GAS1
339,Pde10a,CAPRIN2
340,Zfp948,C1QL3
341,Gm16386,JAM3
342,Ccnf,LARP6
343,Rab26,TMEM132B
344,Syngr3,C2
345,Noxo1,DCHS1
346,Tmem204,CENPV
347,Cacna1h,TVP23A
348,Sox8,ANPEP
349,Chtf18,PLK1
350,Ccdc78,ZBTB39
351,Wdr90,NAB2
352,Fance,TPX2
353,Pi16,CD3D
354,Fgd2,ZNF428
355,Rsph1,SPINT2
356,Zfp811,ZFP28
357,Zfp101,TMEM88
358,Kifc1,TK1
359,C4b,LTBP3
360,Tnfrsf21,BATF2
361,Slc25a27,C3AR1
362,Clic5,TMEM154
363,Ttbk1,ZNF25
364,Ptk7,EMB
365,Sema6b,LGI3
366,Lama1,PYGO1
367,Galm,BUB1
368,Greb1l,FAM84B
369,Cdh2,IGF1
370,Ttr,ARAP2
371,Syt4,SH3D19
372,Gpr17,IL17D
373,Nme5,AFAP1L2
374,Kif20a,SCN1A
375,Egr1,DCLK2
376,Lrrtm2,FAM171B
377,Cd14,CD14
378,Pcdhb5,P2RY1
379,Pcdhb7,SOSTDC1
380,Pcdhb9,CKAP2L
381,Pcdhb11,TUB
382,Pcdhb14,BMP1
383,Pcdhb16,GPRIN1
384,Pcdhb17,OTUD7A
385,Pcdhb19,PAM
386,Pcdhb20,GRM5
387,Pcdhga4,FOS
388,Pcdhga5,SHCBP1
389,Pcdhgb6,AVEN
390,Pcdhgb7,CXCL11
391,Pcdhgc4,PCDHGC4
392,Pcdhgc5,ESCO2
393,Gm4013,P2RY12
394,Stk32a,SNCB
395,Dpysl3,AMZ1
396,Ccdc112,PODN
397,Sema6a,MLKL
398,Lox,GPR171
399,Ctxn3,ARL10
400,Fbn2,APITD1
401,Csf1r,GMPPB
402,Pcyox1l,PTPN7
403,Sh3tc2,OLR1
404,Fam38b,BCL2L14
405,Ccbe1,TRAM1L1
406,Tubb6,KLF7
407,Rab27b,SH3PXD2B
408,4930503L19Rik,MIS18BP1
409,Dcc,ADAT1
410,Ska1,TMEM255A
411,Rnf165,PPP1R14B
412,8030462N17Rik,REP15
413,Pstpip2,XCR1
414,Sall3,SLC16A11
415,Fam69c,PDE7B
416,Neto1,B4GALT2
417,Ppp1r14b,FANCI
418,2700081O15Rik,STOX2
419,Slc22a6,CTSW
420,Rom1,ZWILCH
421,Pip5k1b,SPSB4
422,Slc1a1,TRIB1
423,Prkg1,CSPG4
424,Kif20b,TMEM136
425,Kif11,MID1
426,Cep55,FAM109B
427,Sema4g,CLSPN
428,Tmem180,NETO1
429,Sufu,DAB2
430,Afap1l2,MMP19
431,Gfra1,ATP10B
432,Mcm10,UACA
433,Sfmbt2,MAP6D1
434,Itga8,IL1RAP
435,C1ql3,ANGPT2
436,Arl5b,LRRN1
437,Mastl,RPRM
438,Grin1,DSCAML1
439,Slc2a6,METRNL
440,Ppp1r26,TMEM132E
441,Gbgt1,PLXND1
442,Pomt1,CSRNP3
443,Ralgps1,LDLRAD3
444,Lrp1b,TUBB6
445,Tnfaip6,SHMT1
446,Rprm,ICOS
447,Fign,KCND3
448,Scn3a,GPR4
449,Csrnp3,CD276
450,Scn1a,DYNC1I1
451,Spc25,NEU4
452,Itga6,TUBD1
453,Osbpl6,RNF144A
454,Sestd1,ASB4
455,Frzb,CDC25C
456,Fam171b,MEOX1
457,Slc43a1,ETV4
458,Abtb2,DSCC1
459,Tcp11l1,TMTC2
460,Ccdc73,FAM20C
461,Kif18a,SIAH2
462,Ano3,SOX11
463,Disp2,POLE
464,Casc5,TSPYL5
465,Gchfr,MYCBPAP
466,Oip5,CD6
467,Shc4,SPAG5
468,Bub1,SNX22
469,Ckap2l,PALM2
470,4932416H05Rik,PLEC
471,A730017L22Rik,KIF15
472,Pak7,AATK
473,Jag1,APOLD1
474,Cd93,MYO1D
475,3300002I08Rik,LRCH2
476,Gins1,CASKIN2
477,Ninl,PTPRCAP
478,Sox12,GJC3
479,Tpx2,SAMD9L
480,Dusp15,LRIG3
481,8430427H17Rik,LMNB2
482,Ggt7,EHD3
483,Dsn1,CCT6B
484,Ptprt,ENSG00000181638
485,Matn4,CSF1
486,Zswim3,IL20RB
487,Zfp334,TRAIP
488,Sulf2,TNFRSF18
489,Snord12,CDCA2
490,Ptgis,KCTD11
